"Car_id","Model","Engine","Transmission","Color","Body Style","price ($)"
"C_CND_000001","Expedition","DoubleÃ‚Â Overhead Camshaft","Auto","Black","SUV","26000"
"C_CND_000002","Durango","DoubleÃ‚Â Overhead Camshaft","Auto","Black","SUV","19000"
"C_CND_000003","Eldorado","Overhead Camshaft","Manual","Red","Passenger","31500"
"C_CND_000004","Celica","Overhead Camshaft","Manual","Pale White","SUV","14000"
"C_CND_000005","TL","DoubleÃ‚Â Overhead Camshaft","Auto","Red","Hatchback","24500"
"C_CND_000006","Diamante","Overhead Camshaft","Manual","Pale White","Hatchback","12000"
"C_CND_000007","Corolla","Overhead Camshaft","Manual","Pale White","Passenger","14000"
"C_CND_000008","Galant","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","Passenger","42000"
"C_CND_000009","Malibu","Overhead Camshaft","Manual","Pale White","Hardtop","82000"
"C_CND_000010","Escort","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","Passenger","15000"
"C_CND_000011","RL","Overhead Camshaft","Manual","Pale White","SUV","31000"
"C_CND_000012","Pathfinder","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","Hardtop","46000"
"C_CND_000013","Grand Marquis","DoubleÃ‚Â Overhead Camshaft","Auto","Black","SUV","9000"
"C_CND_000014","323i","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","Hatchback","15000"
"C_CND_000015","Sebring Coupe","Overhead Camshaft","Manual","Pale White","Sedan","26000"
"C_CND_000016","Forester","Overhead Camshaft","Manual","Pale White","Hatchback","17000"
"C_CND_000017","Accent","Overhead Camshaft","Manual","Black","Hatchback","18000"
"C_CND_000018","Eldorado","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","Passenger","31000"
"C_CND_000019","Land Cruiser","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","SUV","33000"
"C_CND_000020","Accord","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","Sedan","21000"
"C_CND_000021","4Runner","Overhead Camshaft","Manual","Black","Sedan","25000"
"C_CND_000022","I30","DoubleÃ‚Â Overhead Camshaft","Auto","Black","Hardtop","21000"
"C_CND_000023","A4","Overhead Camshaft","Manual","Pale White","Hardtop","12000"
"C_CND_000024","Carrera Cabrio","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","Passenger","18000"
"C_CND_000025","Jetta","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","Passenger","22000"
"C_CND_000026","Viper","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","SUV","31250"
"C_CND_000027","Regal","DoubleÃ‚Â Overhead Camshaft","Auto","Black","Passenger","19000"
"C_CND_000028","LHS","Overhead Camshaft","Manual","Pale White","Hatchback","41000"
"C_CND_000029","LHS","Overhead Camshaft","Manual","Pale White","Hatchback","41000"
"C_CND_000030","LW","Overhead Camshaft","Manual","Pale White","Hatchback","13000"
"C_CND_000031","3000GT","Overhead Camshaft","Manual","Pale White","Sedan","20000"
"C_CND_000032","SLK230","Overhead Camshaft","Manual","Pale White","Hatchback","14000"
"C_CND_000033","Accord","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","Sedan","19000"
"C_CND_000034","Civic","Overhead Camshaft","Manual","Black","Hatchback","43000"
"C_CND_000035","S-Type","DoubleÃ‚Â Overhead Camshaft","Auto","Black","Passenger","16000"
