"Dealer_No","Dealer_Name","Dealer_Region","Phone"
"06457-3834","Buddy Storbeck's Diesel Service Inc","Middletown","8264678"
"60504-7114","C & M Motors Inc","Aurora","6848189"
"38701-8047","Capitol KIA","Greenville","7298798"
"99301-3882","Chrysler of Tri-Cities","Pasco","6257557"
"53546-9427","Chrysler Plymouth","Janesville","7081483"
"85257-3102","Classic Chevy","Scottsdale","7315216"
"78758-7841","Clay Johnson Auto Sales","Austin","7727879"
"78758-7841","U-Haul CO","Austin","6206512"
"85257-3102","Rabun Used Car Sales","Pasco","7194857"
"85257-3102","Rabun Used Car Sales","Scottsdale","7836892"
"78758-7841","Race Car Help","Austin","7995489"
"78758-7841","Race Car Help","Pasco","7288103"
"60504-7114","Saab-Belle Dodge","Aurora","6842408"
"38701-8047","Scrivener Performance Engineering","Greenville","7558767"
"06457-3834","Buddy Storbeck's Diesel Service Inc","Middletown","7677191"
"60504-7114","C & M Motors Inc","Aurora","8431908"
"38701-8047","Capitol KIA","Greenville","7814646"
"99301-3882","Chrysler of Tri-Cities","Pasco","7456650"
"53546-9427","Chrysler Plymouth","Janesville","7627010"
"85257-3102","Classic Chevy","Scottsdale","6736704"
"78758-7841","Clay Johnson Auto Sales","Austin","7889827"
"85257-3102","Classic Chevy","Austin","6183219"
"06457-3834","Diehl Motor CO Inc","Middletown","8097778"
"99301-3882","Star Enterprises Inc","Pasco","7959858"
"53546-9427","Suburban Ford","Janesville","8570849"
"85257-3102","Tri-State Mack Inc","Scottsdale","8520534"
"78758-7841","U-Haul CO","Austin","6362556"
"53546-9427","Progressive Shippers Cooperative Association No","Janesville","6281210"
"78758-7841","Race Car Help","Janesville","6292720"
"06457-3834","Ryder Truck Rental and Leasing","Scottsdale","7698986"
"60504-7114","Saab-Belle Dodge","Austin","8847858"
"38701-8047","Scrivener Performance Engineering","Middletown","8344679"
"99301-3882","Star Enterprises Inc","Aurora","6827044"
"85257-3102","Tri-State Mack Inc","Greenville","7954038"
"78758-7841","U-Haul CO","Pasco","7400390"
"06457-3834","Diehl Motor CO Inc","Middletown","7153628"
"60504-7114","Enterprise Rent A Car","Aurora","6125796"
"38701-8047","Gartner Buick Hyundai Saab","Greenville","7438037"
"99301-3882","Hatfield Volkswagen","Pasco","6837588"
"99301-3882","Star Enterprises Inc","Pasco","7213857"
"53546-9427","Suburban Ford","Janesville","7704004"
"85257-3102","Tri-State Mack Inc","Scottsdale","8018700"
"78758-7841","U-Haul CO","Austin","6793858"
"06457-3834","Diehl Motor CO Inc","Middletown","6739543"
"60504-7114","Enterprise Rent A Car","Aurora","6091237"
"38701-8047","Gartner Buick Hyundai Saab","Greenville","6547535"
"99301-3882","Hatfield Volkswagen","Pasco","8689761"
"85257-3102","Rabun Used Car Sales","Scottsdale","6404807"
"78758-7841","Race Car Help","Austin","7117432"
"06457-3834","Ryder Truck Rental and Leasing","Middletown","7836930"
"60504-7114","Saab-Belle Dodge","Aurora","7316398"
"53546-9427","Progressive Shippers Cooperative Association No","Austin","7680267"
"60504-7114","C & M Motors Inc","Scottsdale","6402878"
"38701-8047","Scrivener Performance Engineering","Middletown","7890478"
"99301-3882","Chrysler of Tri-Cities","Middletown","8523869"
"53546-9427","Iceberg Rentals","Janesville","8852693"
"85257-3102","McKinney Dodge Chrysler Jeep","Scottsdale","6444851"
"78758-7841","Motor Vehicle Branch Office","Austin","6052630"
"06457-3834","Buddy Storbeck's Diesel Service Inc","Middletown","8939776"
"60504-7114","C & M Motors Inc","Aurora","7177888"
"06457-3834","Ryder Truck Rental and Leasing","Janesville","6139882"
"53546-9427","Iceberg Rentals","Janesville","7181009"
"85257-3102","McKinney Dodge Chrysler Jeep","Austin","7936565"
"06457-3834","Nebo Chevrolet","Middletown","7419754"
"38701-8047","Scrivener Performance Engineering","Greenville","8637804"
"99301-3882","Star Enterprises Inc","Pasco","8380613"
"53546-9427","Suburban Ford","Janesville","6595676"
"53546-9427","Chrysler Plymouth","Aurora","7244029"
"85257-3102","Classic Chevy","Greenville","6741165"
"78758-7841","Clay Johnson Auto Sales","Pasco","8822935"
"06457-3834","Nebo Chevrolet","Middletown","8026457"
"60504-7114","New Castle Ford Lincoln Mercury","Aurora","8872334"
"38701-8047","Pars Auto Sales","Greenville","6204993"
"99301-3882","Pitre Buick-Pontiac-Gmc of Scottsdale","Pasco","7031644"
"53546-9427","Progressive Shippers Cooperative Association No","Janesville","7179280"
"85257-3102","Rabun Used Car Sales","Scottsdale","6245275"
"99301-3882","Chrysler of Tri-Cities","Pasco","7072635"
"78758-7841","Motor Vehicle Branch Office","Austin","6766211"
"85257-3102","Classic Chevy","Scottsdale","8011357"
"78758-7841","Clay Johnson Auto Sales","Austin","7539127"
"85257-3102","Tri-State Mack Inc","Greenville","6559063"
"60504-7114","Enterprise Rent A Car","Aurora","8082987"
"60504-7114","New Castle Ford Lincoln Mercury","Aurora","7328070"
"38701-8047","Pars Auto Sales","Greenville","7078803"
"99301-3882","Pitre Buick-Pontiac-Gmc of Scottsdale","Pasco","8636283"
"53546-9427","Progressive Shippers Cooperative Association No","Janesville","7109521"
"85257-3102","Rabun Used Car Sales","Scottsdale","7305344"
"78758-7841","Race Car Help","Austin","8941079"
"85257-3102","Tri-State Mack Inc","Scottsdale","6136111"
"78758-7841","U-Haul CO","Austin","8001444"
"06457-3834","Buddy Storbeck's Diesel Service Inc","Middletown","7696195"
"78758-7841","Race Car Help","Austin","8188037"
"60504-7114","Saab-Belle Dodge","Aurora","8351089"
"99301-3882","Chrysler of Tri-Cities","Pasco","6130679"
"06457-3834","Diehl Motor CO Inc","Janesville","6260413"
"60504-7114","Enterprise Rent A Car","Scottsdale","8750989"
"38701-8047","Gartner Buick Hyundai Saab","Austin","6784534"
"99301-3882","Hatfield Volkswagen","Janesville","7944735"
"53546-9427","Iceberg Rentals","Scottsdale","8099375"
"85257-3102","McKinney Dodge Chrysler Jeep","Austin","6641303"
"78758-7841","Race Car Help","Austin","8158584"
"06457-3834","Ryder Truck Rental and Leasing","Middletown","7159142"
